IMU_MODE,IMU_STATUS1,IMU_STATUS2,X_DEL_VEL,Y_DEL_VEL,Z_DEL_VEL,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,VN,VE,VD,ROLL,PITCH,HEADING,LAT,LON,ALT,IMU_MODE_cnt,IMU_Bit
0,5,-32747,-0.000853754210472107,0.0978513265013695,0.00272469288110733,-1.97440385818481E-07,-1.52131542563438E-06,9.28528606891632E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000838670647144318,0.0978790818929672,0.00271656292676926,-5.40167093276978E-07,1.25868245959282E-06,2.71713361144066E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.00081462596654892,0.0979712637662888,0.00277033871412277,-3.25962901115417E-07,6.48433342576027E-07,-5.81750646233559E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000791407907009125,0.0978624313831329,0.00275181695222855,-2.03680247068405E-06,1.80583447217941E-06,2.97883525490761E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000896447825431824,0.0978822657465935,0.00276157289743423,5.32716512680054E-07,3.65776941180229E-07,1.18976458907127E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000745666694641113,0.097933974981308,0.00275910665988922,-2.37952917814255E-06,1.17160379886627E-06,2.27475538849831E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000821661329269409,0.0979276935696602,0.00273250490427017,-1.09337270259857E-06,6.24451786279678E-07,-1.80257484316826E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000852614200115204,0.097913636469841,0.00276948029994965,-1.80862843990326E-06,2.4938490241766E-06,1.08708627521992E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.00085819616317749,0.0979320310592651,0.00274692535400391,3.6703422665596E-06,-3.40119004249573E-06,-1.2542586773634E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000775906491279602,0.0978831877470017,0.00275625890493393,5.98840415477753E-07,-1.67381949722767E-06,1.74879096448421E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000891737902164459,0.0978778237938881,0.00280598788261414,-1.95670872926712E-06,6.42379745841026E-07,-1.05402432382107E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000821220767498016,0.0979323807835579,0.0027657695889473,-2.81352549791336E-06,1.81072391569614E-06,-8.06059688329697E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000818999791145325,0.0978902549028397,0.00276281737089157,-1.52736902236938E-07,-2.20793299376965E-06,1.16694718599319E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000801336443424225,0.0979357281446457,0.00274278316497803,-2.74740159511566E-06,-2.56672501564026E-06,6.85220584273338E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000823032975196838,0.0978863943099976,0.00276944396495819,4.41446900367737E-07,2.24588438868523E-06,-5.84404915571213E-08,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000807745027542114,0.0978802900314331,0.00282371935844421,-1.28336250782013E-06,2.41142697632313E-06,6.42379745841026E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000810778999328613,0.0979513203978539,0.00273301813602448,1.22934579849243E-06,-7.77421519160271E-07,-1.76089815795422E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.0008086261510849,0.0978578032135963,0.0027425515294075,-2.78465449810028E-07,-2.34134495258331E-06,2.1026935428381E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000847718060016632,0.0978804898738861,0.0028058970451355,1.96881592273712E-06,2.71666795015335E-06,9.85804945230484E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.00082265145778656,0.0979251364946365,0.00278212033510208,-2.06753611564636E-07,1.32247805595398E-07,1.52504071593285E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000779862463474274,0.0979572611689568,0.00280646477937698,-3.6582350730896E-06,-6.35278411209583E-06,4.93880361318588E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.00075351505279541,0.0979502984762192,0.00278272440433502,2.70083546638489E-08,2.67848372459412E-06,-7.77258537709713E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000870204877853394,0.0979129506468773,0.00277231897115707,1.82446092367172E-06,-8.12578946352005E-08,-3.2579991966486E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
